Name,Median Incomes,currency,incomes,zipcoded
Zip Code 10456,Families,Dollars,35269,10456
Zip Code 10456,All Households,Dollars,27917,10456
Zip Code 10456,Families with Children,Dollars,31099,10456
Zip Code 10457,All Households,Dollars,29767,10457
Zip Code 10457,Families with Children,Dollars,26999,10457
Zip Code 10457,Families,Dollars,38096,10457
Zip Code 10457,Families without Children,Dollars,49338,10457
Zip Code 10458,Families without Children,Dollars,47544,10458
Zip Code 10458,Families,Dollars,38624,10458
Zip Code 10458,All Households,Dollars,35423,10458
Zip Code 10458,Families with Children,Dollars,31754,10458
Zip Code 10459,Families with Children,Dollars,31228,10459
Zip Code 10459,All Households,Dollars,29284,10459
Zip Code 10459,Families,Dollars,35536,10459
Zip Code 10459,Families without Children,Dollars,44762,10459
Zip Code 10460,Families without Children,Dollars,44649,10460
Zip Code 10460,All Households,Dollars,27545,10460
Zip Code 10460,Families with Children,Dollars,25665,10460
Zip Code 10460,Families,Dollars,33282,10460
Zip Code 10461,All Households,Dollars,58305,10461
Zip Code 10461,Families with Children,Dollars,60313,10461
Zip Code 10461,Families without Children,Dollars,71779,10461
Zip Code 10461,Families,Dollars,68066,10461
Zip Code 10462,Families without Children,Dollars,67672,10462
Zip Code 10462,Families,Dollars,59538,10462
Zip Code 10462,Families with Children,Dollars,52707,10462
Zip Code 10462,All Households,Dollars,54278,10462
Zip Code 10463,All Households,Dollars,58408,10463
Zip Code 10463,Families with Children,Dollars,64616,10463
Zip Code 10463,Families without Children,Dollars,67402,10463
Zip Code 10463,Families,Dollars,66470,10463
Zip Code 10464,All Households,Dollars,96366,10464
Zip Code 10464,Families without Children,Dollars,125915,10464
Zip Code 10464,Families with Children,Dollars,148594,10464
Zip Code 10464,Families,Dollars,132596,10464
Zip Code 10465,Families,Dollars,95996,10465
Zip Code 10465,Families without Children,Dollars,97953,10465
Zip Code 10465,Families with Children,Dollars,92754,10465
Zip Code 10465,All Households,Dollars,75617,10465
Zip Code 10466,Families without Children,Dollars,79009,10466
Zip Code 10466,Families,Dollars,67912,10466
Zip Code 10466,All Households,Dollars,58393,10466
Zip Code 10466,Families with Children,Dollars,54786,10466
Zip Code 10467,Families,Dollars,46530,10467
Zip Code 10467,Families without Children,Dollars,52038,10467
Zip Code 10467,All Households,Dollars,39372,10467
Zip Code 10467,Families with Children,Dollars,40961,10467
Zip Code 10468,Families,Dollars,41488,10468
Zip Code 10468,All Households,Dollars,37804,10468
Zip Code 10468,Families with Children,Dollars,37437,10468
Zip Code 10468,Families without Children,Dollars,46462,10468
Zip Code 10469,Families with Children,Dollars,65407,10469
Zip Code 10469,All Households,Dollars,65399,10469
Zip Code 10469,Families,Dollars,73973,10469
Zip Code 10469,Families without Children,Dollars,79935,10469
Zip Code 10470,Families without Children,Dollars,81667,10470
Zip Code 10470,Families,Dollars,71506,10470
Zip Code 10470,Families with Children,Dollars,66393,10470
Zip Code 10470,All Households,Dollars,61266,10470
Zip Code 10471,All Households,Dollars,88722,10471
Zip Code 10471,Families without Children,Dollars,109429,10471
Zip Code 10471,Families with Children,Dollars,127000,10471
Zip Code 10471,Families,Dollars,114241,10471
Zip Code 10472,Families without Children,Dollars,48573,10472
Zip Code 10472,Families with Children,Dollars,33327,10472
Zip Code 10472,All Households,Dollars,33498,10472
Zip Code 10472,Families,Dollars,38655,10472
Zip Code 10473,All Households,Dollars,41508,10473
Zip Code 10473,Families with Children,Dollars,47887,10473
